Date,Amount,Mean,Median,Projects
2008-06-15,138,23.0,18.5,6
2017-12-15,4574,17.8671875,7.0,256
2011-09-15,439,19.954545454545453,8.5,22
2015-12-15,6313,32.045685279187815,14.0,197
2014-06-15,1986,24.824999999999999,10.0,80
2016-09-15,8279,30.4375,17.0,272
2008-03-15,79,19.75,16.0,4
2009-09-15,272,27.199999999999999,10.5,10
2014-09-15,2967,30.275510204081634,14.0,98
2012-12-15,796,17.304347826086957,9.0,46
2017-09-15,8270,26.677419354838708,9.0,310
2011-06-15,486,22.09090909090909,9.0,22
2013-03-15,993,20.6875,11.5,48
2016-06-15,7803,30.127413127413128,13.0,259
2015-03-15,4493,32.323741007194243,12.0,139
2013-12-15,1381,19.180555555555557,8.0,72
2010-12-15,579,38.600000000000001,11.0,15
2012-03-15,787,24.59375,9.0,32
2013-06-15,1217,22.962264150943398,14.0,53
2014-03-15,1678,23.633802816901408,10.0,71
2011-12-15,459,19.125,9.0,24
2017-03-15,9389,28.889230769230767,12.0,325
2012-09-15,998,25.589743589743591,15.0,39
2009-03-15,144,18.0,17.0,8
2010-06-15,314,28.545454545454547,9.0,11
2011-03-15,298,17.529411764705884,6.0,17
2014-12-15,2244,20.971962616822431,12.0,107
2010-09-15,285,15.833333333333334,3.5,18
2016-12-15,8788,29.003300330033003,11.0,303
2009-12-15,133,16.625,11.0,8
2015-09-15,6567,31.724637681159422,11.0,207
2008-09-15,131,43.666666666666664,37.0,3
2010-03-15,282,23.5,15.0,12
2012-06-15,836,24.588235294117649,11.5,34
2008-12-15,146,24.333333333333332,16.5,6
2015-06-15,4653,28.03012048192771,11.0,166
2016-03-15,8795,35.18,14.5,250
2017-06-15,8386,25.032835820895521,10.0,335
2009-06-15,290,32.222222222222221,18.0,9
2013-09-15,1644,26.516129032258064,13.0,62
