project,url,main_language,languages,age,stars,forks,commits,newcomers,pulls_opened,pulls_closed,pulls_merged,loc_r,loc_total
powdist,https://github.com/anyosa/powdist,R,['R'],0,0,0,63,2,0,0,0,449,546
clust.bin.pair,https://github.com/dgopstein/clust.bin.pair,R,['R'],1,1,0,128,1,0,0,0,202,1289
milr,https://github.com/PingYangChen/milr,R,"['R', 'C++']",1,5,5,149,4,0,3,7,484,4116
glmmTMB,https://github.com/glmmTMB/glmmTMB,HTML,"['TeX', 'R', 'Makefile', 'HTML', 'C++']",2,29,5,897,15,0,5,158,3512,56291
vortexR,https://github.com/carlopacioni/vortexR,R,['R'],2,1,2,248,4,0,0,1,1440,11144
rangeMapper,https://github.com/valcu/rangeMapper,R,['R'],4,3,1,119,5,0,0,4,1493,3043
pcadapt,https://github.com/bcm-uga/pcadapt,R,"['R', 'JavaScript', 'C++', 'CSS']",1,3,1,229,4,0,0,2,1751,13909
logmult,https://github.com/nalimilan/logmult,R,['R'],3,1,2,315,1,0,1,0,5989,6522
biotic,https://github.com/robbriers/biotic,R,['R'],1,0,0,77,4,0,0,0,355,876
hyfo,https://github.com/Yuanchao-Xu/hyfo,R,['R'],2,4,3,168,5,0,0,0,2344,2752
gk,https://github.com/dennisprangle/gk,R,['R'],3,0,1,35,1,0,0,0,619,1113
ENMeval,https://github.com/bobmuscarella/ENMeval,R,['R'],2,5,11,213,8,0,1,5,523,3856
summariser,https://github.com/condwanaland/summariser,R,['R'],0,0,0,14,1,0,0,0,21,147
cmfrec,https://github.com/david-cortes/cmfrec,Jupyter Notebook,"['Python', 'Jupyter Notebook']",0,0,1,7,1,0,0,0,0,525
aspi,https://github.com/WaylandM/aspi,R,"['TeX', 'R']",1,0,0,170,2,0,0,0,470,884
meaRtools,https://github.com/igm-team/meaRtools,R,"['R', 'C++']",0,0,0,204,3,0,5,34,5377,18064
groupdata2,https://github.com/LudvigOlsen/groupdata2,R,['R'],1,0,0,190,1,0,0,2,1590,2617
dendroTools,https://github.com/jernejjevsenak/dendroTools,R,['R'],0,1,0,30,1,0,0,0,1900,2211
EBASS,https://github.com/scossin/EBASS,R,['R'],1,2,0,4,1,0,0,0,751,912
dataMeta,https://github.com/dmrodz/dataMeta,HTML,"['R', 'HTML']",0,5,1,24,2,0,0,0,150,2550
DataExplorer,https://github.com/boxuancui/DataExplorer,R,['R'],2,53,14,80,3,0,0,2,478,3954
uGMAR,https://github.com/cran/uGMAR,R,"['R', 'HTML']",0,0,0,3,1,0,0,0,2623,2873
statesRcontiguous,https://github.com/martinjhnhadley/statesRcontiguous,R,['R'],1,0,0,72,2,0,0,0,212,440
inctools,https://github.com/SACEMA/inctools,R,"['R', 'Shell', 'HTML']",1,3,1,394,6,0,1,8,4759,11210
rEDM,https://github.com/ha0ye/rEDM,HTML,"['TeX', 'R', 'HTML', 'C++']",3,36,20,161,8,2,1,7,1392,9812
far,https://github.com/Looping027/far,R,"['C', 'R']",2,0,1,10,1,0,0,0,1409,1685
